passage_id,node_id,numChildren,label,edge_id,terminal,parent_id,parent_type,parent_edge_id,refined_type,text,text_reduced,text_reduced1
36,1.35,1,D,1.36->1.35,Without,1.36,FN,1.1->1.36,negation,[D* Without] [P getting into] [A [E those] [C rumors] [E [R that] [H [A* rumors] [P upset] [A civilians] [A [R in] [E the] [C seaports] ] ] [L and] [H [A* rumors] [P deranged] [A [E the] [E public] [C mind] ] [G even] [A [E far] [C inland] ] ] ] ],[D*][P][A],D*PA
36,1.71,1,D,1.63->1.71,especially,1.63,FN,1.1->1.63,description,[F it] [G must be said] [F that] [A [E professional] [C seamen] ] [F were] [D especially] [P alarmed],[F][G][F][A][F][D][P],ADP
36,1.124,1,D,1.74->1.124,extremely,1.74,FN,1.1->1.74,degree,"[A [C [C [C Traders] [U ,] [C shipowners] [U ,] [C [C captains] [R of] [E vessels] ] [U ,] [C skippers] [U ,] [N and] [C [E master] [C mariners] ] ] [E [R from] [C [C Europe] [N and] [C America] ] ] ] [U ,] [C [E naval] [C officers] [E [R from] [E every] [C country] ] ] [U ,] [N and] [C [S at their heels] [A [E the] [E various] [E national] [C governments] [E [R on] [E these] [E two] [C continents] ] ] ] ] [U ,] [F were] [F all] [D extremely] [P disturbed] [A [R by] [E the] [C business] [U .] ]",[A][U][F][F][D][P][A],ADPA
37,1.45,1,D,1.44->1.45,infinitely,1.44,FN,1.27->1.44,degree,[A* object] [D infinitely] [S [C bigger] [N and] [C faster] ] [A [R than] [E any] [C whale] [U .] ],[A*][D][S][A],A*DSA
38,1.22,2,D,1.2->1.22,[E pretty] [C closely],1.2,FN,1.1->1.2,degree,"[A [E The] [E relevant] [C data] [E [R on] [E this] [C apparition] ] [U ,] [E [A* data] [R as] [P recorded] [A [R in] [E various] [C logbooks] ] ] ] [U ,] [P agreed] [D [E pretty] [C closely] ] [A [R as to] [C [C [E the] [C structure] [R of] [E [E the] [C [C object] [N or] [C creature] ] [E [E in] [C question] ] ] ] [U ,] [C [E its] [E unprecedented] [C speed] [R of] [E movement] ] [U ,] [C [E its] [E startling] [E locomotive] [C power] ] [U ,] [N and] [C [E the] [E unique] [C vitality] [E [A* vitality] [R with which] [A it] [G seemed] [F to] [F be] [S gifted] ] ] ] ]",[A][U][P][D][A],APDA
38,1.81,2,D,1.78->1.81,in bulk,1.78,FN,1.1->1.78,degree,[A it] [P exceeded] [D in bulk] [A [E any] [C whale] [E [A* whale] [T previously] [P classified] [A [R by] [C science] ] ] ],[A][P][D][A],APDA
38,1.111,1,D,1.92->1.111,would,1.92,FN,1.1->1.92,mood,"[A [E No] [C naturalist] [U ,] [E [C [N neither] [C Cuvier] [N nor] [C Lacépède] ] [U ,] [C [N neither] [C Professor Dumeril] [N nor] [C Professor de Quatrefages] ] ] ] [U ,] [D would] [F have] [P accepted] [A [S [E the] [C existence] ] [A [R of] [C [A [A [E such] [E a] [C monster] ] [S sight] ] [S unseen] ] [F -] [E [A* monster] [G specifically] [U ,] [S unseen] [A [R by] [E their] [E own] [E scientific] [C eyes] [U .] ] ] ] ]",[A][U][D][F][P][A],ADPA
39,1.67,1,D,1.2->1.67,could,1.2,FN,1.1->1.2,mood,"[A [E [H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] ] [F -] [C you] ] [D could] [D still] [P assert] [A [R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] ]",[A][D][D][P][A],ADDPA
39,1.68,1,D,1.2->1.68,still,1.2,FN,1.1->1.2,aspectual,"[A [E [H [P Striking] [A [E an] [C average] [R of] [E [C observations] [E [A* observations] [P taken] [A [R at] [E different] [C times] ] ] ] ] ... [A* you] ] [F -] [H [P rejecting] [A [E those] [E timid] [C estimates] [E [A* estimates] [R that] [P gave] [A [E the] [C object] ] [A [E [E a] [C length] ] [R of] [E 200] [C feet] ] ] ] ... [A* you] ] [U ,] [L and] [H [P ignoring] [A [E those] [E exaggerated] [C views] [E [A* views] [R that] [P saw] [A it] [A [R as] [C [C [E a] [C mile] [E wide] ] [N and] [C [C* mile] [E three] [E long] ] ] ] ] ] ... [A* you] ] ] [F -] [C you] ] [D could] [D still] [P assert] [A [R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ] ]",[A][D][D][P][A],ADDPA
39,1.76,1,D,1.70->1.76,greatly,1.7,FN,1.2->1.70,degree,[R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ],[R][A][D][P][A],ADPA
